Date,Close
"Aug 02, 2021",4387.16
"Aug 03, 2021",4423.15
"Aug 04, 2021",4402.66
"Aug 05, 2021",4429.1
"Aug 06, 2021",4436.52
"Aug 09, 2021",4432.35
"Aug 10, 2021",4436.75
"Aug 11, 2021",4442.41
"Aug 12, 2021",4460.83
"Aug 13, 2021",4468
"Aug 16, 2021",4472.94
"Aug 17, 2021",4448.08
"Aug 18, 2021",4400.27
"Aug 19, 2021",4405.8
"Aug 20, 2021",4441.67
"Aug 23, 2021",4479.53
"Aug 24, 2021",4486.23
"Aug 25, 2021",4496.19
"Aug 26, 2021",4470
"Aug 27, 2021",4509.37
"Aug 30, 2021",4528.79
"Aug 31, 2021",4522.68
"Sep 01, 2021",4524.09
"Sep 02, 2021",4536.95
"Sep 03, 2021",4535.43
"Sep 07, 2021",4520.03
"Sep 08, 2021",4514.07
"Sep 09, 2021",4493.28
"Sep 10, 2021",4458.58
"Sep 13, 2021",4468.73
"Sep 14, 2021",4443.05
"Sep 15, 2021",4480.7
"Sep 16, 2021",4473.75
"Sep 17, 2021",4432.99
"Sep 20, 2021",4357.73
"Sep 21, 2021",4354.19
"Sep 22, 2021",4395.64
"Sep 23, 2021",4448.98
"Sep 24, 2021",4455.48
"Sep 27, 2021",4452.49
